clearance	[2.5700334104343358e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 5.2135468802135466e-05]
past	[0.0073567206373682855, 0.0001552863924752651, 0.00013787820758330143, 0.00010211375472276115, 0.00037016182849516183]
multiple	[0.0011629401182215368, 0.000221837703536093, 0.00018383761011106855, 0.00035739814152966406, 0.0007403236569903237]
myeloma	[3.855050115651503e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 2.6067734401067733e-05]
kappa	[1.9275250578257516e-05, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 5.213546880213547e-06]
bph	[0.00012207658699563094, 2.21837703536093e-05, 1.5319800842589045e-05, 1.2764219340345144e-05, 2.085418752085419e-05]
insulindependent	[0.00026985350809560527, 2.21837703536093e-05, 3.063960168517809e-05, 1.2764219340345144e-05, 2.085418752085419e-05]
diabetes	[0.003636597275764585, 2.21837703536093e-05, 0.00012255840674071236, 7.658531604207086e-05, 0.0006829746413079746]
mellitus	[0.0013492675404780262, 2.21837703536093e-05, 3.063960168517809e-05, 2.5528438680690288e-05, 0.00017726059392726058]
type	[0.0007645849396042149, 4.43675407072186e-05, 1.5319800842589045e-05, 3.829265802103543e-05, 0.0001459793126459793]
ii	[0.0003276792598303778, 0.0002662052442433116, 1.5319800842589045e-05, 0.00047227611559277037, 0.00011469803136469803]
